Screen Name,User Name,Tweet Created At,Tweet Text,Tweet Coordinates,Retweet Count,Phone Type,Favorite Count,Favorited,Type
CNBC,CNBC,2019-08-02 12:11,Apple's earnings hit from new tariffs is 'manageable' so buy the dip: Bank of America https://t.co/INHqjzW08y,None,9,SocialFlow,11,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:09,Stock markets in the U.S. will face major pains if President Donald Trump fails to win a second term in the White H… https://t.co/N4fHNbZczD,None,34,Twitter Media Studio,53,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 11:57,"Here are the biggest analyst calls of the day: Amazon, Alphabet, Facebook, Pinterest &amp; more https://t.co/snA8hK8rP4",None,4,SocialFlow,10,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 11:52,"Stocks making the biggest moves premarket: Exxon, Newell Brands, Square, Pinterest &amp; more https://t.co/JV6a7WtiPa",None,6,SocialFlow,10,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 11:46,"What to watch today: Jobs Friday, Trump's new China tariff threat, and oil earnings https://t.co/esmrW2KRf6",None,10,SocialFlow,13,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 11:45,Verizon CEO sees functioning 5G wireless in half the US next year https://t.co/1xDmDIqNph,None,12,SocialFlow,17,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 11:34,"Exxon Mobil earnings beat, shares jump 2% https://t.co/KcWQoIW8h6",None,11,SocialFlow,18,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 11:32,This one semis stock could offer shelter against a chipmaker sell-off $NVDA $SMH (via @TradingNation) https://t.co/GVBCeRwg0C,None,5,SocialFlow,9,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 11:21,"We can't believe we have to ask this, but would you try mustard ice cream? https://t.co/n7KBO4y7W6 https://t.co/kP889Ms904",None,17,Twitter Media Studio,23,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 10:48,Qualcomm disappointed Wall Street. It says Huawei is partly to blame https://t.co/42cSkQO8XF,None,3,SocialFlow,12,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 10:37,Jobs report should show solid but slower trend of hiring https://t.co/uxCkeC8njk,None,6,SocialFlow,17,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 10:17,Amazon announces new renewable energy projects in the US and Ireland https://t.co/UgYtDlncnI,None,9,SocialFlow,39,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 10:16,"Her student loan balance is $500,000. Her monthly bill could be $4,500. https://t.co/aSRfrSs6GZ https://t.co/iAwdKErHCC",None,17,SocialFlow,39,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 10:05,US ends cold war-era nuclear missile pact with Russia https://t.co/ZPQCVY2Hat,None,25,SocialFlow,27,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 10:05,Forget Teslas. Car thieves are targeting powerful cars and pickups. https://t.co/kmjsVVAJUe https://t.co/aOl3DN12FS,None,8,Twitter Media Studio,13,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 9:46,Intel says it's been selling products to Huawei and has applied for licenses to sell more https://t.co/7ZHaSsxisX,None,13,SocialFlow,18,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 9:35,"Saudi Arabia backs $550 million investment in health start-up Babylon, valuing it at $2 billion https://t.co/Io8I6Snfkj",None,9,SocialFlow,14,FALSE,from:cnbc -filter:retweets
